B,G,R,OUT
43,93,61,0
8,14,13,0
0,91,0,0
90,202,119,0
4,174,2,0
0,109,1,0
60,192,61,0
26,177,27,0
0,180,25,0
4,178,5,0
4,147,2,0
0,135,1,0
241,226,0,1
212,111,4,1
32,49,187,1
4,15,35,1
202,107,7,1
44,55,120,1
105,135,143,1
174,109,0,1
65,77,106,1
234,184,0,1
76,154,117,0
72,134,111,0
75,100,87,0
8,243,255,0
78,142,98,0
88,98,44,0
50,128,100,0
168,192,181,0
233,217,150,0
70,69,37,0
1,219,254,1
1,173,254,1
2,61,198,1
32,2,14,1
6,4,9,1
3,93,250,1
0,188,255,1
50,215,254,1
1,127,255,1
4,0,4,1
103,106,105,0
85,132,108,0
95,92,94,0
123,144,130,0
102,101,101,0
254,234,221,0
17,141,254,0
67,159,111,0
92,90,93,0
10,148,244,0
85,81,82,1
110,62,34,1
47,120,254,1
248,245,242,1
206,137,71,1
8,7,5,1
89,77,79,1
157,104,81,1
90,92,85,1
86,103,115,1
17,65,68,0
17,14,7,0
147,144,191,0
33,49,76,0
53,106,83,0
80,135,167,0
5,15,17,0
169,220,215,0
235,226,251,0
124,164,196,0
3,98,209,1
108,210,254,1
12,5,15,1
27,178,242,1
234,247,248,1
11,5,8,1
76,114,144,1
27,142,226,1
32,78,176,1
3,8,12,1
1,90,50,0
1,133,43,0
208,224,241,0
217,197,255,0
0,167,108,0
4,26,2,0
1,101,124,0
1,58,23,0
0,134,79,0
3,148,118,0
3,4,244,1
13,17,73,1
251,251,242,1
5,2,153,1
117,218,255,1
1,67,254,1
4,3,4,1
5,3,255,1
10,27,255,1
9,38,109,1
75,127,77,0
53,11,57,0
3,22,14,0
19,102,154,0
102,104,90,0
19,83,38,0
0,40,26,0
0,48,2,0
0,52,2,0
20,98,138,0
0,2,1,1
0,85,250,1
90,82,81,1
72,207,255,1
2,128,251,1
255,255,252,1
37,21,26,1
12,3,6,1
126,116,130,1
198,93,12,1
36,110,79,0
37,147,68,0
15,94,46,0
119,201,189,0
44,106,78,0
118,172,137,0
3,128,48,0
62,143,90,0
68,130,108,0
6,71,34,0
255,128,254,1
159,86,0,1
248,8,37,1
8,98,255,1
147,132,150,1
86,131,180,1
23,30,28,1
27,43,73,1
21,17,22,1
24,32,52,1
49,94,60,0
83,142,98,0
7,27,20,0
54,88,122,0
112,197,163,0
90,132,65,0
44,111,71,0
92,130,134,0
47,105,70,0
6,37,28,0
88,120,152,1
227,227,236,1
3,111,224,1
235,160,121,1
141,190,218,1
209,222,203,1
37,51,73,1
183,154,199,1
31,16,16,1
119,127,116,1
112,208,244,0
29,157,123,0
2,8,2,0
2,142,113,0
8,143,102,0
84,208,216,0
2,107,71,0
10,143,93,0
10,143,93,0
2,67,51,0
71,157,140,1
247,233,202,1
120,43,77,1
66,145,199,1
6,25,43,1
246,248,252,1
51,122,184,1
60,163,217,1
135,179,205,1
83,62,67,1
109,156,145,0
143,178,176,0
91,144,134,0
89,149,135,0
51,84,109,0
161,187,192,0
105,147,143,0
119,164,160,0
120,154,154,0
152,148,208,0
248,242,242,1
8,86,94,1
220,248,250,1
30,11,13,1
